"","item","sentence","condition","e1","e2","context","target","lp_pythia","s_lp"
"29",8,"Lisa's phone had been disconnecting last month.","Attraction Violation",1,1,"Lisa's phone had been","disconnecting",-11.0800983905792,-0.220301328198208
"30",8,"Lisa's phone had been disconnected last month.","Passive Control",1,1,"Lisa's phone had been","disconnected",-5.31982803344727,1.39160884945175
"31",8,"The electrician had been disconnecting the machine's power source.","Active Control",1,0,"The electrician had been","disconnecting",-13.2182093858719,-0.818614021974879
"32",8,"Mother Theresa's death was disconnecting the two cables.","No-Attraction Violation",0,1,"Mother Theresa's death was","disconnecting",-16.3198081701994,-1.68654179922829
"33",9,"Wendy's muddy car was washing the boys.","Attraction Violation",1,1,"Wendy's muddy car was","washing",-10.3753690719604,-0.0230952439797024
"34",9,"Wendy's muddy car was washed wearily.","Passive Control",1,1,"Wendy's muddy car was","washed",-5.26404094696045,1.40721988277386
"35",9,"Wendy and Harriet were washing the muddy car.","Active Control",1,0,"Wendy and Harriet were","washing",-9.79292488098145,0.13989150163194
"36",9,"Frank's loan application had been washing the used pencil.","No-Attraction Violation",0,1,"Frank's loan application had been","washing",-17.0346145629883,-1.88656777512004
"37",10,"The library books had been borrowing the graduate student.","Attraction Violation",1,1,"The library books had been","borrowing",-11.9226570129395,-0.456076514855487
"38",10,"The library books had been borrowed by the graduate student.","Passive Control",1,1,"The library books had been","borrowed",-8.52116775512695,0.495770328070287
"39",10,"Katie and Lara had been borrowing dozens of books about botany from the library.","Active Control",1,0,"Katie and Lara had been","borrowing",-11.0713424682617,-0.217851137595465
"40",10,"The tragic mistake was borrowing in a hurry.","No-Attraction Violation",0,1,"The tragic mistake was","borrowing",-13.240496635437,-0.824850716119168
"41",11,"The dark, underwater cave was exploring by the divers.","Attraction Violation",1,1,"The dark, underwater cave was","exploring",-9.65372753143311,0.17884342758817
"42",11,"The dark, underwater cave was explored by the divers.","Passive Control",1,1,"The dark, underwater cave was","explored",-7.22416210174561,0.858714510120081
"43",11,"The cautious scuba divers were exploring the underwater cave.","Active Control",1,0,"The cautious scuba divers were","exploring",-8.60112285614014,0.473396301663938
"44",11,"The phone bill had been exploring at the zoo.","No-Attraction Violation",0,1,"The phone bill had been","exploring",-15.3236389160156,-1.40778138349664
"45",12,"The unpleasant cough syrup was swallowing the boy.","Attraction Violation",1,1,"The unpleasant cough syrup was","swallowing",-10.6398992538452,-0.0971193550090939
"46",12,"The unpleasant cough syrup was swallowed by the boy.","Passive Control",1,1,"The unpleasant cough syrup was","swallowed",-6.32703304290771,1.10976027202879
"47",12,"The huge adult alligator had been swallowing fish by the bucket.","Active Control",1,0,"The huge adult alligator had been","swallowing",-10.7802181243896,-0.136385118857639
"48",12,"The murder had been swallowing with disgust.","No-Attraction Violation",0,1,"The murder had been","swallowing",-14.0097427368164,-1.04011068536623
"49",13,"The pizza had been delivering once more.","Attraction Violation",1,1,"The pizza had been","delivering",-8.13295555114746,0.604404674009916
"50",13,"The pizza had been delivered by Antonio himself.","Passive Control",1,1,"The pizza had been","delivered",-3.99965476989746,1.76103607905089
"51",13,"The exhausted messenger had been delivering packages all over town.","Active Control",1,0,"The exhausted messenger had been","delivering",-8.15832710266113,0.597304892303139
"52",13,"A genetic mutation was delivering once more.","No-Attraction Violation",0,1,"A genetic mutation was","delivering",-13.5818977355957,-0.920385799351041
"53",14,"Frank's loan application had been approving by the bank.","Attraction Violation",1,1,"Frank's loan application had been","approving",-11.2340774536133,-0.263389656255987
"54",14,"Frank's loan application had been approved anyways.","Passive Control",1,1,"Frank's loan application had been","approved",-3.01776838302612,2.03579968599414
"55",14,"The board of directors had been approving too many expensive projects.","Active Control",1,0,"The board of directors had been","approving",-8.22818660736084,0.577755940665544
"56",14,"Wendy's muddy car was approving the boy's request.","No-Attraction Violation",0,1,"Wendy's muddy car was","approving",-13.9942655563354,-1.03577966907848
"57",15,"The cheap products had been manufacturing a Belgian firm.","Attraction Violation",1,1,"The cheap products had been","manufacturing",-8.50446891784668,0.500443203490738
"58",15,"The cheap products had been manufactured by a Belgian firm.","Passive Control",1,1,"The cheap products had been","manufactured",-4.38288640975952,1.65379545623424
"59",15,"The auto company had been manufacturing parts in China.","Active Control",1,0,"The auto company had been","manufacturing",-7.12006282806396,0.88784485788677
"60",15,"A drawing of the house had been manufacturing at a factory.","No-Attraction Violation",0,1,"A drawing of the house had been","manufacturing",-12.6462554931641,-0.658562801521176
"61",16,"Their secret conversation had been overhearing by a surprised neighbor.","Attraction Violation",1,1,"Their secret conversation had been","overhearing",-11.8863701820374,-0.44592228451223
"62",16,"Their secret conversation had been overheard by a surprised neighbor.","Passive Control",1,1,"Their secret conversation had been","overheard",-8.66005182266235,0.45690606856612
"63",16,"The annoyed resident had been overhearing his neighbor's phone conversations through the wall.","Active Control",1,0,"The annoyed resident had been","overhearing",-11.1212069988251,-0.231804847983259
"64",16,"A wet snowball had been overhearing despite the precautions.","No-Attraction Violation",0,1,"A wet snowball had been","overhearing",-13.1117148399353,-0.788813399466448
"65",17,"The rough part of the wood was sanding to perfection.","Attraction Violation",1,1,"The rough part of the wood was","sanding",-11.5332369804382,-0.34710417938302
"66",17,"The rough part of the wood was sanded by the carpenter.","Passive Control",1,1,"The rough part of the wood was","sanded",-9.85348463058472,0.122944922619276
"67",17,"The skillful carpenter was sanding the rough edge of the wood.","Active Control",1,0,"The skillful carpenter was","sanding",-14.4084601402283,-1.15168472629124
"68",17,"Three more martinis were sanding the chair.","No-Attraction Violation",0,1,"Three more martinis were","sanding",-16.3404388427734,-1.69231492948644
"69",18,"A package had been receiving by the secretary in the office.","Attraction Violation",1,1,"A package had been","receiving",-9.73335075378418,0.156562271578526
"70",18,"A package had been received by the secretary in the office.","Passive Control",1,1,"A package had been","received",-6.06684732437134,1.18256866152889
"71",18,"The secretary had been receiving flowers all day.","Active Control",1,0,"The secretary had been","receiving",-7.11913871765137,0.888103453905183
"72",18,"The noises in the attic had been receiving assistance from the government.","No-Attraction Violation",0,1,"The noises in the attic had been","receiving",-9.74665069580078,0.152840517117441
"73",19,"The club's rules had been violating Richard.","Attraction Violation",1,1,"The club's rules had been","violating",-10.3009624481201,-0.0022738611596571
"74",19,"The club's rules had been violated only twice.","Passive Control",1,1,"The club's rules had been","violated",-4.18304252624512,1.70971824627813
"75",19,"The rebel had been violating the rules.","Active Control",1,0,"The rebel had been","violating",-9.98242092132568,0.0868643731956757
"76",19,"Thirty pounds of potatoes had been violating only twice.","No-Attraction Violation",0,1,"Thirty pounds of potatoes had been","violating",-12.8773956298828,-0.723243296661314
"77",20,"A new medication had been prescribing the physician.","Attraction Violation",1,1,"A new medication had been","prescribing",-9.21371269226074,0.301973828351527
"78",20,"A new medication had been prescribed by the physician.","Passive Control",1,1,"A new medication had been","prescribed",-2.72018218040466,2.11907394206093
"79",20,"The new doctor had been prescribing powerful painkillers for Jelena's sore knee.","Active Control",1,0,"The new doctor had been","prescribing",-8.47895622253418,0.507582481803011
"80",20,"The portrait of Napoleon had been prescribing with caution.","No-Attraction Violation",0,1,"The portrait of Napoleon had been","prescribing",-15.3989791870117,-1.42886403102466
"81",21,"The wheat crops had been harvesting by the local farmers.","Attraction Violation",1,1,"The wheat crops had been","harvesting",-7.42594909667969,0.802247974578232
"82",21,"The wheat crops had been harvested after the rain.","Passive Control",1,1,"The wheat crops had been","harvested",-3.42314171791077,1.92236309990761
"83",21,"The local farmers had been harvesting the corn all week.","Active Control",1,0,"The local farmers had been","harvesting",-7.23318386077881,0.856189929795839
"84",21,"The elevator button had been harvesting after the rain.","No-Attraction Violation",0,1,"The elevator button had been","harvesting",-15.4359722137451,-1.43921587782988
"85",22,"The musical piece was composing by Beethoven in 1799.","Attraction Violation",1,1,"The musical piece was","composing",-9.71457767486572,0.161815586978388
"86",22,"The musical piece was composed in a dream.","Passive Control",1,1,"The musical piece was","composed",-4.31272220611572,1.67342967250329
"87",22,"Ludwig von Beethoven was composing symphonies as a teenager.","Active Control",1,0,"Ludwig von Beethoven was","composing",-9.07289123535156,0.341380232139911
"88",22,"The bank had been composing in a dream.","No-Attraction Violation",0,1,"The bank had been","composing",-9.684739112854,0.170165382875308
"89",23,"The old lady's purse had been snatching a kid.","Attraction Violation",1,1,"The old lady's purse had been","snatching",-9.26778519153595,0.286842592053779
"90",23,"The old lady's purse had been snatched with speed.","Passive Control",1,1,"The old lady's purse had been","snatched",-5.59734439849854,1.31395078384782
"91",23,"The clever dog had been snatching cookies from the table.","Active Control",1,0,"The clever dog had been","snatching",-9.52919578552246,0.213691442738249
"92",23,"The quality of Karla's work was snatching victory from the jaws of defeat.","No-Attraction Violation",0,1,"The quality of Karla's work was","snatching",-15.9769449234009,-1.59059756001869
"93",24,"Olson's bulging suitcase had been packing his assistant.","Attraction Violation",1,1,"Olson's bulging suitcase had been","packing",-7.26814365386963,0.846407047604926
"94",24,"Olson's bulging suitcase had been packed for the trip.","Passive Control",1,1,"Olson's bulging suitcase had been","packed",-3.74458384513855,1.83241318362245
"95",24,"The excited vacationers had been packing their suitcases when the hurricane hit.","Active Control",1,0,"The excited vacationers had been","packing",-7.47783279418945,0.787729235893241
"96",24,"Stormy weather had been packing for the trip.","No-Attraction Violation",0,1,"Stormy weather had been","packing",-11.2026767730713,-0.254602729009056
"97",25,"Several spelling errors were noticing the careful editor.","Attraction Violation",1,1,"Several spelling errors were","noticing",-14.9333562850952,-1.29856766505343
"98",25,"Several spelling errors were noticed by the careful editor.","Passive Control",1,1,"Several spelling errors were","noticed",-6.74829721450806,0.991876915244824
"99",25,"Brittany's close friends were noticing changes in her personality.","Active Control",1,0,"Brittany's close friends were","noticing",-11.2574272155762,-0.269923675775936
"100",25,"The final destination had been noticing too late.","No-Attraction Violation",0,1,"The final destination had been","noticing",-14.6254501342773,-1.21240555329597
"101",26,"An illegal weapon had been smuggling only once.","Attraction Violation",1,1,"An illegal weapon had been","smuggling",-9.77326607704163,0.145392671574734
"102",26,"An illegal weapon had been smuggled only once.","Passive Control",1,1,"An illegal weapon had been","smuggled",-8.24517691507936,0.573001502377944
"103",26,"The drug dealer had been smuggling heroin into Canada.","Active Control",1,0,"The drug dealer had been","smuggling",-9.98278617858887,0.0867621623855082
"104",26,"Cleopatra's beauty was smuggling only once.","No-Attraction Violation",0,1,"Cleopatra's beauty was","smuggling",-15.676176071167,-1.50643269552832
"105",27,"The leftover food was discarding wastefully.","Attraction Violation",1,1,"The leftover food was","discarding",-15.2490367889404,-1.38690529254061
"106",27,"The leftover food was discarded wastefully.","Passive Control",1,1,"The leftover food was","discarded",-6.38986206054688,1.0921786783352
"107",27,"The campers were discarding the leftover food.","Active Control",1,0,"The campers were","discarding",-14.5523567199707,-1.19195164902841
"108",27,"The sleek new building was discarding wastefully.","No-Attraction Violation",0,1,"The sleek new building was","discarding",-16.1229386329651,-1.63145132759022
"109",28,"Thirty pounds of potatoes had been peeling by the cooks.","Attraction Violation",1,1,"Thirty pounds of potatoes had been","peeling",-9.92068839073181,0.104139134307044
"110",28,"Thirty pounds of potatoes had been peeled carefully.","Passive Control",1,1,"Thirty pounds of potatoes had been","peeled",-8.06037330627441,0.624715536517036
"111",28,"The bored looking cooks had been peeling potatoes for hours.","Active Control",1,0,"The bored looking cooks had been","peeling",-12.2136201858521,-0.537497432739741
"112",28,"The club's rules had been peeling the sticker off the box.","No-Attraction Violation",0,1,"The club's rules had been","peeling",-18.9570322036743,-2.42452248359635
"113",29,"The grimy pots and pans had been scrubbing the dishwashers.","Attraction Violation",1,1,"The grimy pots and pans had been","scrubbing",-11.5417206287384,-0.349478178898809
"114",29,"The grimy pots and pans had been scrubbed by the dishwashers.","Passive Control",1,1,"The grimy pots and pans had been","scrubbed",-8.32577923312783,0.550446363686639
"115",29,"The guys in the kitchen had been scrubbing the pots and pans.","Active Control",1,0,"The guys in the kitchen had been","scrubbing",-10.1049518585205,0.0525762491153912
"116",29,"The stolen artwork had been scrubbing with vigor.","No-Attraction Violation",0,1,"The stolen artwork had been","scrubbing",-15.082389831543,-1.34027207742237
"117",30,"The roast lamb had been carving by a servant.","Attraction Violation",1,1,"The roast lamb had been","carving",-13.3987832069397,-0.86914442453419
"118",30,"The roast lamb had been carved by a servant.","Passive Control",1,1,"The roast lamb had been","carved",-9.17475032806396,0.312876759550985
"119",30,"The butcher had been carving the meat.","Active Control",1,0,"The butcher had been","carving",-13.8807926177979,-1.00402626634277
"120",30,"Janet's houseplants were carving before dinner.","No-Attraction Violation",0,1,"Janet's houseplants were","carving",-13.9299592971802,-1.01778469537197
"121",31,"Cleopatra's beauty was admiring many people.","Attraction Violation",1,1,"Cleopatra's beauty was","admiring",-12.112312078476,-0.509148143690174
"122",31,"Cleopatra's beauty was admired always.","Passive Control",1,1,"Cleopatra's beauty was","admired",-8.43867111206055,0.518855560244512
"123",31,"The men were admiring the beautiful woman from a distance.","Active Control",1,0,"The men were","admiring",-11.4208145141602,-0.315644732802396
"124",31,"An illegal weapon had been admiring always.","No-Attraction Violation",0,1,"An illegal weapon had been","admiring",-18.9306635856628,-2.41714369039602
"125",32,"A wet snowball had been tossing by the girls through the window.","Attraction Violation",1,1,"A wet snowball had been","tossing",-9.68552875518799,0.169944415379698
"126",32,"A wet snowball had been tossed in anger.","Passive Control",1,1,"A wet snowball had been","tossed",-7.20554828643799,0.863923258404282
"127",32,"The baseball players had been tossing the ball around the infield.","Active Control",1,0,"The baseball players had been","tossing",-8.80457019805908,0.416465147269605
"128",32,"Their secret conversation had been tossing a steak on the grill.","No-Attraction Violation",0,1,"Their secret conversation had been","tossing",-11.8424024581909,-0.433618691596938
"129",33,"The sealed envelope was opening the judge.","Attraction Violation",1,1,"The sealed envelope was","opening",-9.89320945739746,0.111828629689455
"130",33,"The sealed envelope was opened without permission.","Passive Control",1,1,"The sealed envelope was","opened",-5.69032859802246,1.2879307937639
"131",33,"Tuxedoed waiters were opening bottles of champagne for the toast.","Active Control",1,0,"Tuxedoed waiters were","opening",-8.80492782592773,0.416365071411086
"132",33,"The men's faces had been opening without permission.","No-Attraction Violation",0,1,"The men's faces had been","opening",-10.7524042129517,-0.128601885754416
"133",34,"The man's beard had been shaving twice a day.","Attraction Violation",1,1,"The man's beard had been","shaving",-12.5494327545166,-0.631468663889155
"134",34,"The man's beard had been shaved twice a day.","Passive Control",1,1,"The man's beard had been","shaved",-6.52038004249334,1.05565552049325
"135",34,"His uncle Ralph had been shaving his beard off.","Active Control",1,0,"His uncle Ralph had been","shaving",-13.0158307552338,-0.76198192760442
"136",34,"The popular amusement park is shaving twice a day.","No-Attraction Violation",0,1,"The popular amusement park is","shaving",-16.2282114028931,-1.66091005760733
"137",35,"The elevator button had been pressing slowly.","Attraction Violation",1,1,"The elevator button had been","pressing",-10.8686666488647,-0.161135880186578
"138",35,"The elevator button had been pressed by the attendant.","Passive Control",1,1,"The elevator button had been","pressed",-4.38844203948975,1.65224081113076
"139",35,"The attendant had been pressing the buttons.","Active Control",1,0,"The attendant had been","pressing",-9.55380058288574,0.206806223672137
"140",35,"The wheat crops had been pressing slowly.","No-Attraction Violation",0,1,"The wheat crops had been","pressing",-11.4043350219727,-0.311033237241837
"141",36,"The winning lottery numbers had been announcing the TV news.","Attraction Violation",1,1,"The winning lottery numbers had been","announcing",-10.5239953994751,-0.0646857033044069
"142",36,"The winning lottery numbers had been announced by the TV news.","Passive Control",1,1,"The winning lottery numbers had been","announced",-5.6416711807251,1.30154671477057
"143",36,"The flight attendant had been announcing the reason for the delay.","Active Control",1,0,"The flight attendant had been","announcing",-10.5003204345703,-0.058060681470444
"144",36,"The tarnished silverware was announcing on the television.","No-Attraction Violation",0,1,"The tarnished silverware was","announcing",-12.4520130157471,-0.604207466290646
"145",37,"The victim's body had been identifying at the morgue.","Attraction Violation",1,1,"The victim's body had been","identifying",-11.1798896789551,-0.248226162173176
"146",37,"The victim's body had been identified by the family members.","Passive Control",1,1,"The victim's body had been","identified",-5.28816652297974,1.40046876535816
"147",37,"The laboratory technicians had been identifying the chemical.","Active Control",1,0,"The laboratory technicians had been","identifying",-9.95234870910645,0.0952795519868279
"148",37,"The movie was identifying rare fish for the divers.","No-Attraction Violation",0,1,"The movie was","identifying",-13.7035303115845,-0.954422532874725
"149",38,"The hearty meal was devouring by the kids.","Attraction Violation",1,1,"The hearty meal was","devouring",-12.9528193473816,-0.744349295222988
"150",38,"The hearty meal was devoured with gusto.","Passive Control",1,1,"The hearty meal was","devoured",-10.7286981344223,-0.121968157320761
"151",38,"The hungry boys were devouring the plate of cookies when Jack arrived.","Active Control",1,0,"The hungry boys were","devouring",-11.4829323291779,-0.333027308972009
"152",38,"The dusty tabletops were devouring with gusto.","No-Attraction Violation",0,1,"The dusty tabletops were","devouring",-12.6494178771973,-0.659447738979441
"153",39,"The overgrown shrubs were trimming regularly.","Attraction Violation",1,1,"The overgrown shrubs were","trimming",-12.128732919693,-0.513743226809936
"154",39,"The overgrown shrubs were trimmed by a gardener.","Passive Control",1,1,"The overgrown shrubs were","trimmed",-7.27464866638184,0.844586734455703
"155",39,"A gardener was trimming the overgrown shrubbery.","Active Control",1,0,"A gardener was","trimming",-12.9028606414795,-0.730369231525785
"156",39,"The alarm clock had been trimming regularly.","No-Attraction Violation",0,1,"The alarm clock had been","trimming",-17.2930943965912,-1.95889880277501
"157",40,"Wilson's unreasonable proposal was rejecting by the boss.","Attraction Violation",1,1,"Wilson's unreasonable proposal was","rejecting",-10.1787757873535,0.031917923227493
"158",40,"Wilson's unreasonable proposal was rejected at the hospital.","Passive Control",1,1,"Wilson's unreasonable proposal was","rejected",-2.68414735794067,2.12915765228255
"159",40,"The admissions committee was rejecting nearly every application.","Active Control",1,0,"The admissions committee was","rejecting",-10.7143106460571,-0.117942072173919
"160",40,"The rare bird's behavior was rejecting all offers.","No-Attraction Violation",0,1,"The rare bird's behavior was","rejecting",-14.1196403503418,-1.07086359638571
"161",41,"Hathaway's gigantic fortune had been inheriting by his daughters.","Attraction Violation",1,1,"Hathaway's gigantic fortune had been","inheriting",-13.451079249382,-0.883778550684055
"162",41,"Hathaway's gigantic fortune had been inherited by his daughters.","Passive Control",1,1,"Hathaway's gigantic fortune had been","inherited",-6.87478828430176,0.956480617824538
"163",41,"Generations of aristocratic Englishmen have been inheriting their fortunes.","Active Control",1,0,"Generations of aristocratic Englishmen have been","inheriting",-12.2642003297806,-0.551651394920431
"164",41,"The strange mystery had been inheriting the estate from her grandmother.","No-Attraction Violation",0,1,"The strange mystery had been","inheriting",-14.6587772369385,-1.22173155583413
"165",42,"All of her money had been spending before the wedding.","Attraction Violation",1,1,"All of her money had been","spending",-8.96608448028564,0.371268220872829
"166",42,"All of her money had been spent before the wedding.","Passive Control",1,1,"All of her money had been","spent",-3.18361401557922,1.98939070751622
"167",42,"The shopping fanatic had been spending all her money in Bloomingdales.","Active Control",1,0,"The shopping fanatic had been","spending",-6.43058633804321,1.08078270673944
"168",42,"Patty's overgrown lawn was spending its time on the beach.","No-Attraction Violation",0,1,"Patty's overgrown lawn was","spending",-11.1089200973511,-0.228366575070738
"169",43,"An appointment was scheduling by the secretary.","Attraction Violation",1,1,"An appointment was","scheduling",-11.0384817123413,-0.208655633976821
"170",43,"An appointment was scheduled by the secretary.","Passive Control",1,1,"An appointment was","scheduled",-4.56802272796631,1.60198831923056
"171",43,"The secretary was scheduling new appointments for the afternoon.","Active Control",1,0,"The secretary was","scheduling",-10.97922706604,-0.192074265130512
"172",43,"The legal contract had been scheduling for next week.","No-Attraction Violation",0,1,"The legal contract had been","scheduling",-15.5225324630737,-1.46343823862583
"173",44,"The men's faces had been photographing by a security camera.","Attraction Violation",1,1,"The men's faces had been","photographing",-10.199956536293,0.0259908637894616
"174",44,"The men's faces had been photographed by a security camera.","Passive Control",1,1,"The men's faces had been","photographed",-7.02425479888916,0.914655046949553
"175",44,"The intrusive reporter had been photographing the celebrities at the party.","Active Control",1,0,"The intrusive reporter had been","photographing",-10.3950965106487,-0.0286156201476769
"176",44,"The sealed envelope was photographing at the party.","No-Attraction Violation",0,1,"The sealed envelope was","photographing",-13.4580013751984,-0.88571558564293
"177",45,"The broken television had been repairing the technician.","Attraction Violation",1,1,"The broken television had been","repairing",-10.1951236724854,0.0273432555828689
"178",45,"The broken television had been repaired by the technician.","Passive Control",1,1,"The broken television had been","repaired",-7.52446937561035,0.774678810204441
"179",45,"The competent technician had been repairing the television.","Active Control",1,0,"The competent technician had been","repairing",-9.00667381286621,0.359910011234348
"180",45,"Larry's note had been repairing the computer's hard drive.","No-Attraction Violation",0,1,"Larry's note had been","repairing",-14.6008453369141,-1.20552033422986
"181",46,"The alarm clock had been unplugging accidentally.","Attraction Violation",1,1,"The alarm clock had been","unplugging",-10.6632363796234,-0.103649838515376
"182",46,"The alarm clock had been unplugged late.","Passive Control",1,1,"The alarm clock had been","unplugged",-7.73501373827457,0.715761679586589
"183",46,"The frantic woman had been unplugging every electrical device in the house.","Active Control",1,0,"The frantic woman had been","unplugging",-13.0018409490585,-0.758067126812252
"184",46,"The overgrown shrubs were unplugging accidentally.","No-Attraction Violation",0,1,"The overgrown shrubs were","unplugging",-15.0303754806519,-1.32571677769039
"185",47,"The car door had been unlocking late at night.","Attraction Violation",1,1,"The car door had been","unlocking",-11.6036350727081,-0.366803845263544
"186",47,"The car door had been unlocked by the child.","Passive Control",1,1,"The car door had been","unlocked",-2.90471076965332,2.06743686729949
"187",47,"The babysitter had been unlocking the back door.","Active Control",1,0,"The babysitter had been","unlocking",-12.3769726902246,-0.583208753219133
"188",47,"The Queen's 80th birthday was unlocking late at night.","No-Attraction Violation",0,1,"The Queen's 80th birthday was","unlocking",-15.3343849480152,-1.41078847123308
"189",48,"The portrait of Napoleon had been painting by a Dutch artist.","Attraction Violation",1,1,"The portrait of Napoleon had been","painting",-6.99193334579468,0.923699636173551
"190",48,"The portrait of Napoleon had been painted by a Dutch artist.","Passive Control",1,1,"The portrait of Napoleon had been","painted",-2.57957983016968,2.15841903270666
"191",48,"The French Impressionist artists had been painting with a focus on light and color.","Active Control",1,0,"The French Impressionist artists had been","painting",-6.58337688446045,1.03802696411814
"192",48,"A new medication had been painting on Tuesday.","No-Attraction Violation",0,1,"A new medication had been","painting",-15.3877429962158,-1.42571978098447
"193",49,"The embarrassing allegations had been denying by the mayor.","Attraction Violation",1,1,"The embarrassing allegations had been","denying",-11.9755010604858,-0.470863990579222
"194",49,"The embarrassing allegations had been denied by the mayor.","Passive Control",1,1,"The embarrassing allegations had been","denied",-5.75577449798584,1.26961691165491
"195",49,"The embarassed mayor had been denying allegations of corruption.","Active Control",1,0,"The embarassed mayor had been","denying",-11.0065422058105,-0.199717925769721
"196",49,"Tamara's birthday gift had been denying the rumor.","No-Attraction Violation",0,1,"Tamara's birthday gift had been","denying",-15.5650310516357,-1.47533071991433
"197",50,"The noises in the attic had been hearing nightly.","Attraction Violation",1,1,"The noises in the attic had been","hearing",-8.27462100982666,0.564762091195427
"198",50,"The noises in the attic had been heard by the boys.","Passive Control",1,1,"The noises in the attic had been","heard",-2.52169156074524,2.17461804505619
"199",50,"The frightened campers had been hearing noises in the woods.","Active Control",1,0,"The frightened campers had been","hearing",-7.97827816009521,0.647688416860764
"200",50,"A package had been hearing nightly.","No-Attraction Violation",0,1,"A package had been","hearing",-12.7018566131592,-0.674121795396854
"201",51,"The appetizers had been serving before the meal.","Attraction Violation",1,1,"The appetizers had been","serving",-7.30180835723877,0.836986573456331
"202",51,"The appetizers had been served before the meal.","Passive Control",1,1,"The appetizers had been","served",-3.73723340034485,1.83447007610121
"203",51,"The waiters had been serving the meal.","Active Control",1,0,"The waiters had been","serving",-7.60568714141846,0.75195144930028
"204",51,"The final exams had been serving before the meal.","No-Attraction Violation",0,1,"The final exams had been","serving",-11.5035839080811,-0.338806289498052
"205",52,"Billy's unruly hair was combing his mother to one side.","Attraction Violation",1,1,"Billy's unruly hair was","combing",-10.7951033115387,-0.14055047624092
"206",52,"Billy's unruly hair was combed by his mother to one side.","Passive Control",1,1,"Billy's unruly hair was","combed",-7.61664909124374,0.748883940764263
